Address,Sale Date,Sale Price,Square Footage,Number of Bedrooms,Number of Bathrooms,Year Built,Lot Size,Additional Features
456 Ohana Ln,2021-06-20,820000,2000,4,3,1990,6000,Yes
789 Mahalo Dr,2021-09-10,680000,1600,3,2,1978,4500,No
1011 Koa Rd,2022-01-25,950000,2200,4,3,2005,7000,Yes
1213 Lehua Ave,2022-04-18,720000,1750,3,2,1995,5200,Yes
1415 Hula Cir,2022-07-30,870000,2100,4,3,2010,6500,Yes
1617 Pono Pl,2022-10-05,640000,1500,2,2,1970,4000,No
1819 Lani St,2023-02-14,980000,2300,5,4,2015,7500,Yes
2021 Mele Ct,2023-05-22,890000,1900,4,3,2000,5800,Yes
2223 Aina Way,2023-08-10,710000,1700,3,2,1988,5100,No
2072 Akaikai Loop,2023-11-01,800000,2000,4,3,1995,6000,Yes
2017 Komo Mai Drive,2023-12-15,850000,2100,4,3,2000,6500,Yes
2425 Kai Blvd,2021-02-05,760000,1850,3,2,1982,4900,Yes
2627 Nalu St,2021-05-15,810000,1950,4,3,1992,5700,Yes
2829 Moana Rd,2021-08-25,670000,1550,2,2,1975,4300,No
3031 Hoku Ln,2022-03-10,940000,2250,5,4,2008,7200,Yes
3233 Moku Dr,2022-06-18,730000,1800,3,2,1998,5400,Yes
3435 Ala St,2022-09-22,860000,2050,4,3,2012,6300,Yes
3637 Lani Cir,2023-01-12,650000,1600,2,2,1980,4100,No
3839 Pua Pl,2023-04-08,970000,2400,5,4,2018,7600,Yes
4041 Kula Rd,2023-07-19,880000,2000,4,3,2003,5900,Yes
4243 Wai Blvd,2023-09-30,700000,1650,3,2,1986,5000,No
4445 Hina St,2021-01-10,740000,1750,3,2,1983,4800,Yes
4647 Lono Ln,2021-04-22,800000,1900,4,3,1991,5600,Yes
4849 Pali Dr,2021-07-15,690000,1600,3,2,1977,4400,No
5051 Kimo Rd,2022-02-05,930000,2150,4,3,2006,7100,Yes
5253 Leilani Ave,2022-05-18,710000,1700,3,2,1996,5300,Yes
5455 Hoku Cir,2022-08-30,850000,2000,4,3,2011,6200,Yes
5657 Pono Pl,2022-11-10,630000,1500,2,2,1971,3900,No
5859 Lani St,2023-03-14,960000,2250,5,4,2016,7400,Yes
6061 Mele Ct,2023-06-22,870000,1850,4,3,2001,5700,Yes
6263 Aina Way,2023-09-05,700000,1650,3,2,1989,5000,No
6465 Kai Blvd,2021-03-01,750000,1800,3,2,1984,5000,Yes
6667 Nalu St,2021-06-10,820000,2000,4,3,1993,6000,Yes
6869 Moana Rd,2021-09-20,680000,1600,3,2,1976,4500,No
7071 Hoku Ln,2022-01-15,950000,2200,4,3,2007,7000,Yes
7273 Moku Dr,2022-04-25,720000,1750,3,2,1997,5200,Yes
7475 Ala St,2022-07-05,870000,2100,4,3,2013,6500,Yes
7677 Lani Cir,2022-10-15,640000,1500,2,2,1972,4000,No
7879 Pua Pl,2023-02-10,980000,2300,5,4,2017,7500,Yes
8081 Kula Rd,2023-05-30,890000,1900,4,3,2002,5800,Yes
8283 Wai Blvd,2023-08-20,710000,1700,3,2,1987,5100,No
8485 Hina St,2021-02-15,760000,1850,3,2,1981,4900,Yes
8687 Lono Ln,2021-05-25,810000,1950,4,3,1994,5700,Yes
8889 Pali Dr,2021-08-05,670000,1550,2,2,1974,4300,No
9091 Kimo Rd,2022-03-20,940000,2250,5,4,2009,7200,Yes
9293 Leilani Ave,2022-06-28,730000,1800,3,2,1999,5400,Yes
9495 Hoku Cir,2022-09-12,860000,2050,4,3,2014,6300,Yes
9697 Pono Pl,2023-01-22,650000,1600,2,2,1981,4100,No
9899 Lani St,2023-04-18,970000,2400,5,4,2019,7600,Yes
10001 Mele Ct,2023-07-29,880000,2000,4,3,2004,5900,Yes
